SMT2-LIB program,size(byte),#var,Satisfiability,Time(s)
sqrt.c.5.smt2,11242,16,,
div2.c.30.smt2,11433,32,,
mult1.c.30.smt2,11481,33,,
div3.c.30.smt2,11500,33,,
div.c.30.smt2,11530,33,,
mult2.c.30.smt2,11570,34,,
test_v7_r7_vr10_c1_s24535.smt2,14931,7,,
test_v5_r10_vr5_c1_s13195.smt2,15016,5,,
div2.c.40.smt2,15063,42,,
mult1.c.40.smt2,15091,43,,
test_v7_r7_vr1_c1_s24449.smt2,15097,7,,
div3.c.40.smt2,15120,43,,
div.c.40.smt2,15160,43,,
mult2.c.40.smt2,15180,44,,
test_v7_r7_vr5_c1_s3582.smt2,15187,7,,
test_v7_r7_vr1_c1_s22845.smt2,15276,7,,
test_v7_r7_vr5_c1_s19694.smt2,15278,7,,
test_v7_r7_vr10_c1_s10625.smt2,15280,7,,
test_v7_r7_vr10_c1_s32506.smt2,15280,7,,
test_v7_r7_vr5_c1_s14675.smt2,15280,7,,
test_v7_r7_vr1_c1_s4574.smt2,15282,7,,
test_v5_r10_vr1_c1_s32538.smt2,15398,5,,
test_v5_r10_vr5_c1_s13679.smt2,15398,5,,
test_v5_r10_vr5_c1_s8690.smt2,15398,5,,
test_v5_r10_vr10_c1_s15708.smt2,15402,5,,
test_v5_r10_vr10_c1_s7608.smt2,15407,5,,
test_v5_r10_vr1_c1_s19145.smt2,15489,5,,
test_v5_r10_vr1_c1_s13516.smt2,15491,5,,
test_v5_r10_vr10_c1_s21502.smt2,15493,5,,
sin2.c.10.smt2,17527,37,,
div2.c.50.smt2,18758,52,,
mult1.c.50.smt2,18760,53,,
div3.c.50.smt2,18801,53,,
mult2.c.50.smt2,18851,54,,
div.c.50.smt2,18852,53,,
